figure,panel,plotted,run,model_label,epoch,train_loss,val_loss,val_accuracy,selection_role,excluded_reason,seed,source_file,script,command,generated_at,hardware,os,python_version,torch_version
project1_training_curves,a-b,yes,chorale_lstm,LSTM,20,0.8334068781451175,0.834766173362732,0.7660075664520264,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,21,0.8139266716806512,0.8138013005256652,0.7719998121261596,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,22,0.8012881796610983,0.8057101607322693,0.7709840297698974,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,23,0.7877081695355868,0.786350405216217,0.7787576079368591,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,24,0.7775857574061343,0.780020821094513,0.7780105710029602,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,25,0.7800725306335249,0.7747671008110046,0.777531373500824,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,26,0.7649835191274944,0.7705203652381897,0.7792353153228759,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,27,0.7550327056332639,0.7647592067718506,0.7811274051666259,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,28,0.7557087164176138,0.7741918802261353,0.7754195809364319,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,29,0.7494596729153081,0.7586339235305786,0.7809347152709961,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,30,0.7388733186219868,0.7474069118499755,0.7830715298652648,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
